"Number","Name","Position","Height","Weight","Class","Hometown"
"0","Connor Cashaw","G","6-5","200","JR","Lincolnshire, IL"
"2","A.J. Lapray","G","6-5","190","SR","Salem, OR"
"3","Ako Adams","G","6-2","170","SO","Washington, DC"
"4","Dylan Jones","F","6-8","215","SR","Houston, TX"
"5","Addison Owen","G","6-5","185","SO","Atlanta, GA"
"10","Robert Martin","F","6-6","220","SO","Pittsburgh, PA"
"11","Miles Lester","G","6-0","170","FR","Wichita, KS"
"12","Josh Parrish","G","6-5","210","SO","Arlington, TX"
"13","Malik Osborne","F","6-8","200","FR","Matteson, IL"
"14","Najja Hunter","G","6-5","180","FR","Brooklyn, NY"
"15","Bishop Mency","G","6-5","215","SR","Chino Hills, CA"
"20","Grant Youngkin","G","6-3","190","SO","Washington, DC"
"24","J.T. Trauber","G","5-10","165","SR","Houston, TX"
"30","Austin Meyer","F","6-9","235","SO","Pflugerville, TX"
"35","Tim Harrison","F","6-8","220","SO","San Diego, CA"
